,actorID,movieID
0,35742,19404
1,55061,19404
2,691,19404
3,6217,19404
4,35759,19404
5,504,278
6,192,278
7,4029,278
8,6574,278
9,6576,278
10,3084,238
11,1158,238
12,3085,238
13,3087,238
14,225730,372058
15,1369100,372058
16,87637,372058
17,91288,372058
18,1668610,372058
19,3896,424
20,2282,424
21,5469,424
22,6692,424
23,587506,324857
24,543505,324857
25,130640,324857
26,932967,324857
27,1158,240
28,3087,240
29,3092,240
30,380,240
31,3096,240
32,19588,129
33,19589,129
34,119243,129
35,31,497
36,61981,497
37,52,497
38,5149,497
39,2505,497
40,4818,637
41,9235,637
42,9236,637
43,9237,637
44,6677,452522
45,6678,452522
46,6714,452522
47,6715,452522
48,6679,452522
49,8891,680
50,2231,680
51,139,680
52,62,680
53,10182,680
54,7301,539
55,7302,539
56,7303,539
57,7304,539
58,1936,539
59,3894,155
60,3895,155
61,1810,155
62,64,155
63,6383,155
64,819,550
65,287,550
66,1283,550
67,7470,550
68,7499,550
69,31,13
70,32,13
71,33,13
72,34,13
73,35,13
74,7450,346
75,7453,346
76,20828,346
77,20829,346
78,7454,346
79,40325,18491
80,83768,18491
81,4958,389
82,1936,389
83,5247,389
84,5248,389
85,5249,389
86,380,311
87,4512,311
88,4513,311
89,4517,311
90,4521,311
91,72413,12477
92,72414,12477
93,72415,12477
94,72416,12477
95,109,122
96,1327,122
97,110,122
98,1328,122
99,882,122
100,11477,769
101,380,769
102,4517,769
103,7004,769
104,110,490132
105,932967,490132
106,1817,490132
107,130129,490132
108,514,510
109,7071,510
110,518,510
111,7072,510
112,7077,510
113,24366,11216
114,20030,11216
115,27643,11216
116,68635,11216
117,120152,11216
118,65717,374430
119,28847,374430
120,566331,374430
121,3300,374430
122,90755,374430
123,996701,244786
124,18999,244786
125,129104,244786
126,13848,901
127,13852,901
128,13853,901
129,13854,901
130,190,429
131,3265,429
132,4078,429
133,5813,429
134,5814,429
135,70131,14537
136,76976,14537
137,76977,14537
138,20828,14537
139,8252,599
140,8629,599
141,8630,599
142,8631,599
143,8632,599
144,13848,914
145,14028,914
146,10924,914
147,5464,914
148,14276,26451
149,83259,26451
150,68406,26451
151,8600,40096
152,87341,40096
153,123763,40096
154,123757,40096
155,123758,40096
156,136532,313106
