,directorID,movieID
613,115128,489925
614,68424,11167
615,65452,21450
616,6818,2000
617,17812,1592
618,3146,28580
619,39996,9040
620,17496,21575
621,309,64
622,11343,767
623,12238,907
624,20739,10229
625,366,3558
626,9603,643
627,2917,229
628,2636,940
629,6201,824
630,11505,9377
631,4956,3870
632,94011,13187
633,7087,260513
634,59,175
635,12891,24428
636,16960,773
637,16959,773
638,13265,871
639,45459,244267
640,11343,675
641,20646,11321
642,1224031,308369
643,54451,11046
644,15175,9552
645,1243,11562
646,3317,4291
647,11218,19101
648,6593,983
649,40345,9444
650,12881,9444
651,21684,30018
652,18738,1712
653,1843,158
654,9168,1632
655,1243,5143
656,25598,109424
657,120025,50531
658,120020,50531
659,120019,50531
660,1032,262
661,18378,11610
662,25630,16372
663,12079,9023
664,1744,15121
665,11694,137113
666,488,578
667,935705,337703
668,77921,15137
669,77923,15137
670,5602,638
671,4956,746
672,15663,8333
673,52961,7735
674,769,9475
675,24,8358
676,9577,642
677,4955,11906
678,7623,765
679,5834,433
680,19304,3116
681,108,57158
682,57741,309809
683,1223,10778
684,1776,592
685,30008,3063
686,54441,1245
687,69081,11344
688,380,1607
689,2036,264660
690,5602,985
691,45052,5708
692,608,15371
693,2662,212
694,4945,13466
695,36588,4347
696,50767,389015
697,6593,16958
698,55936,246741
699,55934,246741
700,6448,475
701,66605,10683
702,11090,747
703,83287,71859
704,7467,2649
705,52358,10637
706,893,319
707,11218,9693
708,1223,379
709,3556,11481
710,879,12498
711,35736,10757
712,15811,812
713,15810,812
714,11701,433247
715,83189,244088
716,14520,966
717,1130801,364433
718,202,4960
719,468,71
720,14999,923
721,74091,198375
722,6818,6404
723,20657,2009
724,21684,387426
725,190,688
726,4786,10435
727,82337,284293
728,55252,293660
729,16391,1360
730,64883,11658
731,5281,487558
732,40345,11704
733,21183,64690
